category,model,image_auroc,image_f1,pixel_auroc,pixel_f1,fit_seconds,test_seconds
bottle,efficient_ad,0.9643,0.9524,0.7658,0.4337,747.4,30.3
cable,efficient_ad,0.6709,0.7788,0.7849,0.2249,110.8,41.9
capsule,efficient_ad,0.4689,0.9,0.9203,0.1348,110.7,27.5
carpet,efficient_ad,0.9623,0.9438,0.9592,0.6752,110.9,36.8
grid,efficient_ad,0.9465,0.9091,0.8279,0.2533,119.2,29.3
hazelnut,efficient_ad,0.8146,0.8312,0.807,0.4281,147.7,43.1
leather,efficient_ad,0.9521,0.9274,0.9487,0.4996,111.1,38.5
metal_nut,efficient_ad,0.6144,0.8889,0.7901,0.3813,101.4,30.3
pill,efficient_ad,0.7591,0.9121,0.84,0.3971,107.7,37.2
screw,efficient_ad,0.4933,0.8489,0.9267,0.0656,108.4,25.5
tile,efficient_ad,0.956,0.9357,0.7939,0.5544,83.1,27.4
toothbrush,efficient_ad,0.5361,0.8169,0.7136,0.1061,74.9,25.6
transistor,efficient_ad,0.5275,0.5612,0.8001,0.3358,99.9,32.0
wood,efficient_ad,0.9412,0.9344,0.7626,0.3517,104.6,30.5
zipper,efficient_ad,0.6045,0.8773,0.8623,0.2315,105.5,31.6
