category,model,image_auroc,image_f1,pixel_auroc,pixel_f1,fit_seconds,test_seconds
bottle,patchcore,1.0,0.992,0.9856,0.7274,302.5,108.6
cable,patchcore,0.9829,0.9674,0.985,0.6384,297.6,126.6
capsule,patchcore,0.9924,0.977,0.9901,0.5168,296.3,135.6
carpet,patchcore,0.986,0.9718,0.9906,0.606,401.8,106.8
grid,patchcore,0.9858,0.9649,0.9816,0.3888,368.4,99.4
hazelnut,patchcore,1.0,0.9928,0.9883,0.6311,472.1,104.8
leather,patchcore,1.0,0.9945,0.9922,0.4379,303.9,112.2
metal_nut,patchcore,0.9985,0.9891,0.9871,0.8406,287.6,109.1
pill,patchcore,0.9465,0.9531,0.9812,0.7201,330.3,97.7
screw,patchcore,0.9635,0.9508,0.989,0.3701,359.5,102.6
tile,patchcore,1.0,0.994,0.9557,0.6204,279.1,100.3
toothbrush,patchcore,0.9083,0.9355,0.9888,0.5956,66.4,34.9
transistor,patchcore,0.9954,0.962,0.9729,0.6077,265.4,100.0
wood,patchcore,0.986,0.958,0.9315,0.4667,294.9,98.8
zipper,patchcore,0.9785,0.9791,0.9814,0.5432,291.9,107.3
